y,ds
13.91176471,18-02-2020 06:00
14.88235294,18-02-2020 07:00
16.17647059,18-02-2020 08:00
16.82352941,18-02-2020 09:00
17.14705882,18-02-2020 10:00
17.79411765,18-02-2020 12:00
18.11764706,18-02-2020 13:00
21.02941176,18-02-2020 16:00
22,18-02-2020 17:00
20.70588235,18-02-2020 19:00
20.70588235,18-02-2020 20:00
23.94117647,18-02-2020 21:00
25.88235294,18-02-2020 22:00
26.52941176,18-02-2020 23:00
27.17647059,18-02-2020 00:00
27.5,18-02-2020 00:00
27.5,18-02-2020 02:00
28.14705882,18-02-2020 05:00
28.14705882,18-02-2020 06:00
23.29411765,18-02-2020 09:00
23.29411765,18-02-2020 10:00
23.61764706,18-02-2020 11:00
24.26470588,18-02-2020 12:00
24.26470588,18-02-2020 13:00
24.26470588,18-02-2020 14:00
22.97058824,18-02-2020 15:00
23.29411765,18-02-2020 16:00
27.82352941,18-02-2020 19:00
29.11764706,18-02-2020 20:00
28.79411765,18-02-2020 21:00
26.20588235,18-02-2020 23:00
24.58823529,18-02-2020 00:00
24.26470588,18-02-2020 00:00
25.88235294,18-02-2020 04:00
25.88235294,18-02-2020 05:00
25.88235294,18-02-2020 06:00
26.20588235,18-02-2020 07:00
27.82352941,18-02-2020 09:00
30.08823529,18-02-2020 12:00
30.41176471,18-02-2020 13:00
30.08823529,18-02-2020 14:00
29.76470588,18-02-2020 15:00
28.47058824,18-02-2020 16:00
27.82352941,18-02-2020 17:00
27.82352941,18-02-2020 18:00
27.82352941,18-02-2020 19:00
27.82352941,18-02-2020 20:00
25.55882353,18-02-2020 22:00
25.55882353,18-02-2020 23:00
26.52941176,18-02-2020 00:00
26.85294118,18-02-2020 02:00
26.52941176,18-02-2020 03:00
25.55882353,18-02-2020 05:00
25.88235294,18-02-2020 06:00
25.55882353,18-02-2020 07:00
25.88235294,18-02-2020 08:00
29.44117647,18-02-2020 12:00
29.44117647,18-02-2020 13:00
29.11764706,18-02-2020 14:00
29.11764706,18-02-2020 15:00
28.47058824,18-02-2020 17:00
27.5,18-02-2020 18:00
26.85294118,18-02-2020 19:00
26.85294118,18-02-2020 20:00
27.17647059,18-02-2020 21:00
27.5,18-02-2020 22:00
27.82352941,18-02-2020 23:00
29.11764706,18-02-2020 02:00
28.79411765,18-02-2020 03:00
27.17647059,18-02-2020 06:00
26.85294118,18-02-2020 07:00
26.85294118,18-02-2020 08:00
27.17647059,18-02-2020 09:00
31.38235294,18-02-2020 11:00
31.38235294,18-02-2020 12:00
32.67647059,18-02-2020 14:00
25.88235294,18-02-2020 17:00
25.55882353,18-02-2020 18:00
27.82352941,18-02-2020 20:00
29.76470588,18-02-2020 21:00
31.05882353,18-02-2020 22:00
32.02941176,18-02-2020 23:00
32.35294118,18-02-2020 00:00
32.67647059,18-02-2020 00:00
29.76470588,18-02-2020 03:00
27.82352941,18-02-2020 04:00
27.82352941,18-02-2020 05:00
31.05882353,18-02-2020 08:00
31.70588235,18-02-2020 09:00
31.70588235,18-02-2020 10:00
31.05882353,18-02-2020 11:00
29.44117647,18-02-2020 12:00
29.11764706,18-02-2020 13:00
28.79411765,18-02-2020 14:00
28.47058824,18-02-2020 15:00
27.82352941,18-02-2020 17:00
27.82352941,18-02-2020 18:00
28.79411765,18-02-2020 20:00
29.11764706,18-02-2020 21:00
29.11764706,18-02-2020 22:00
29.11764706,18-02-2020 23:00
29.11764706,18-02-2020 00:00
29.11764706,18-02-2020 00:00
30.41176471,18-02-2020 03:00
30.73529412,18-02-2020 04:00
30.08823529,18-02-2020 05:00
26.85294118,18-02-2020 07:00
26.85294118,18-02-2020 08:00
26.85294118,18-02-2020 09:00
28.14705882,18-02-2020 10:00
28.79411765,18-02-2020 11:00
29.11764706,18-02-2020 12:00
31.05882353,18-02-2020 14:00
31.70588235,18-02-2020 15:00
31.70588235,18-02-2020 16:00
31.70588235,18-02-2020 17:00
32.02941176,18-02-2020 18:00
31.70588235,18-02-2020 19:00
31.38235294,18-02-2020 20:00
31.38235294,18-02-2020 21:00
34.94117647,18-02-2020 00:00
35.26470588,18-02-2020 02:00
34.61764706,18-02-2020 04:00
34.61764706,18-02-2020 05:00
34.61764706,18-02-2020 06:00
34.94117647,18-02-2020 07:00
37.85294118,18-02-2020 13:00
37.85294118,18-02-2020 14:00
37.85294118,18-02-2020 15:00
37.85294118,18-02-2020 16:00
35.58823529,18-02-2020 18:00
34.29411765,18-02-2020 19:00
33.64705882,18-02-2020 20:00
33.64705882,18-02-2020 21:00
33.97058824,18-02-2020 23:00
34.94117647,18-02-2020 00:00
34.94117647,18-02-2020 00:00
35.91176471,18-02-2020 02:00
35.91176471,18-02-2020 03:00
35.91176471,18-02-2020 04:00
39.79411765,18-02-2020 06:00
41.41176471,18-02-2020 07:00
42.38235294,18-02-2020 10:00
42.38235294,18-02-2020 11:00
39.14705882,18-02-2020 13:00
35.91176471,18-02-2020 16:00
35.91176471,18-02-2020 17:00
36.55882353,18-02-2020 18:00
36.55882353,18-02-2020 19:00
35.58823529,18-02-2020 20:00
33.97058824,18-02-2020 21:00
33.64705882,18-02-2020 22:00
31.70588235,18-02-2020 23:00
11.97058824,17-02-2020 04:00
11.64705882,17-02-2020 05:00
11.32352941,17-02-2020 06:00
11.32352941,17-02-2020 07:00
13.58823529,17-02-2020 10:00
13.58823529,17-02-2020 11:00
13.58823529,17-02-2020 12:00
13.58823529,17-02-2020 13:00
13.58823529,17-02-2020 14:00
13.58823529,17-02-2020 15:00
13.58823529,17-02-2020 16:00
15.20588235,17-02-2020 17:00
15.20588235,17-02-2020 18:00
17.47058824,17-02-2020 19:00
18.44117647,17-02-2020 21:00
18.44117647,17-02-2020 22:00
18.44117647,17-02-2020 23:00
18.11764706,17-02-2020 00:00
17.47058824,17-02-2020 00:00
17.14705882,17-02-2020 02:00
17.14705882,17-02-2020 03:00
18.44117647,17-02-2020 04:00
21.02941176,17-02-2020 05:00
21.35294118,17-02-2020 06:00
23.94117647,17-02-2020 07:00
23.61764706,17-02-2020 08:00
23.29411765,17-02-2020 09:00
22.97058824,17-02-2020 10:00
22.97058824,17-02-2020 11:00
26.20588235,17-02-2020 15:00
25.88235294,17-02-2020 16:00
25.55882353,17-02-2020 17:00
24.91176471,17-02-2020 19:00
25.55882353,17-02-2020 20:00
26.52941176,17-02-2020 21:00
27.82352941,17-02-2020 22:00
28.14705882,17-02-2020 23:00
28.14705882,17-02-2020 00:00
27.5,17-02-2020 00:00
27.5,17-02-2020 02:00
29.44117647,17-02-2020 06:00
29.44117647,17-02-2020 07:00
28.14705882,17-02-2020 08:00
26.20588235,17-02-2020 09:00
25.23529412,17-02-2020 10:00
24.91176471,17-02-2020 11:00
24.58823529,17-02-2020 12:00
24.26470588,17-02-2020 14:00
23.94117647,17-02-2020 15:00
23.61764706,17-02-2020 17:00
23.61764706,17-02-2020 18:00
24.26470588,17-02-2020 21:00
24.58823529,17-02-2020 22:00
24.58823529,17-02-2020 23:00
24.58823529,17-02-2020 00:00
25.88235294,17-02-2020 02:00
26.52941176,17-02-2020 03:00
26.85294118,17-02-2020 04:00
28.14705882,17-02-2020 06:00
27.82352941,17-02-2020 07:00
27.82352941,17-02-2020 08:00
25.55882353,17-02-2020 10:00
25.55882353,17-02-2020 11:00
26.52941176,17-02-2020 12:00
26.85294118,17-02-2020 13:00
26.52941176,17-02-2020 14:00
25.55882353,17-02-2020 16:00
25.55882353,17-02-2020 17:00
26.20588235,17-02-2020 18:00
27.82352941,17-02-2020 21:00
31.38235294,17-02-2020 23:00
31.70588235,17-02-2020 00:00
32.02941176,17-02-2020 00:00
31.70588235,17-02-2020 02:00
31.38235294,17-02-2020 03:00
31.38235294,17-02-2020 04:00
31.05882353,17-02-2020 05:00
30.08823529,17-02-2020 07:00
31.38235294,17-02-2020 09:00
33,17-02-2020 13:00
32.67647059,17-02-2020 14:00
32.35294118,17-02-2020 15:00
31.38235294,17-02-2020 16:00
30.41176471,17-02-2020 18:00
29.76470588,17-02-2020 19:00
28.14705882,17-02-2020 20:00
28.14705882,17-02-2020 21:00
27.82352941,17-02-2020 22:00
27.82352941,17-02-2020 23:00
33,17-02-2020 03:00
34.29411765,17-02-2020 04:00
33.97058824,17-02-2020 05:00
29.44117647,17-02-2020 10:00
29.44117647,17-02-2020 11:00
29.44117647,17-02-2020 12:00
29.76470588,17-02-2020 13:00
29.76470588,17-02-2020 14:00
29.44117647,17-02-2020 15:00
29.76470588,17-02-2020 16:00
31.05882353,17-02-2020 17:00
32.02941176,17-02-2020 18:00
32.02941176,17-02-2020 19:00
32.02941176,17-02-2020 20:00
31.70588235,17-02-2020 21:00
30.41176471,17-02-2020 23:00
30.41176471,17-02-2020 00:00
30.08823529,17-02-2020 00:00
28.79411765,17-02-2020 04:00
28.47058824,17-02-2020 05:00
28.14705882,17-02-2020 06:00
28.47058824,17-02-2020 07:00
29.11764706,17-02-2020 09:00
29.11764706,17-02-2020 10:00
28.47058824,17-02-2020 11:00
28.14705882,17-02-2020 12:00
28.14705882,17-02-2020 13:00
28.14705882,17-02-2020 14:00
28.14705882,17-02-2020 15:00
27.82352941,17-02-2020 16:00
27.82352941,17-02-2020 17:00
27.82352941,17-02-2020 18:00
28.14705882,17-02-2020 19:00
28.47058824,17-02-2020 20:00
29.44117647,17-02-2020 21:00
30.08823529,17-02-2020 23:00
30.41176471,17-02-2020 00:00
30.73529412,17-02-2020 00:00
31.38235294,17-02-2020 02:00
33.97058824,17-02-2020 06:00
33.97058824,17-02-2020 07:00
34.29411765,17-02-2020 08:00
33,17-02-2020 11:00
31.05882353,17-02-2020 12:00
29.11764706,17-02-2020 14:00
29.11764706,17-02-2020 15:00
29.11764706,17-02-2020 16:00
29.76470588,17-02-2020 17:00
31.05882353,17-02-2020 20:00
31.38235294,17-02-2020 21:00
31.38235294,17-02-2020 22:00
31.38235294,17-02-2020 23:00
31.38235294,17-02-2020 00:00
31.38235294,17-02-2020 00:00
31.70588235,17-02-2020 02:00
31.70588235,17-02-2020 03:00
31.38235294,17-02-2020 04:00
30.41176471,17-02-2020 06:00
30.73529412,17-02-2020 07:00
31.70588235,17-02-2020 08:00
32.35294118,17-02-2020 09:00
32.67647059,17-02-2020 10:00
32.67647059,17-02-2020 11:00
32.67647059,17-02-2020 12:00
32.67647059,17-02-2020 13:00
32.67647059,17-02-2020 14:00
32.67647059,17-02-2020 15:00
33,17-02-2020 16:00
32.67647059,17-02-2020 17:00
31.70588235,17-02-2020 18:00
31.70588235,17-02-2020 19:00
31.70588235,17-02-2020 20:00
31.38235294,17-02-2020 21:00
31.38235294,17-02-2020 22:00
31.05882353,17-02-2020 23:00
30.41176471,17-02-2020 00:00
30.41176471,17-02-2020 02:00
30.73529412,17-02-2020 03:00
30.41176471,17-02-2020 04:00
29.76470588,17-02-2020 05:00
29.76470588,17-02-2020 06:00
29.76470588,17-02-2020 07:00
29.76470588,17-02-2020 08:00
29.11764706,17-02-2020 10:00
31.38235294,17-02-2020 12:00
34.61764706,17-02-2020 13:00
34.61764706,17-02-2020 14:00
34.94117647,17-02-2020 15:00
34.61764706,17-02-2020 16:00
33.64705882,17-02-2020 18:00
34.29411765,17-02-2020 19:00
34.61764706,17-02-2020 20:00
34.94117647,17-02-2020 21:00
38.82352941,17-02-2020 00:00
38.82352941,17-02-2020 00:00
38.82352941,17-02-2020 02:00
37.20588235,17-02-2020 04:00
37.20588235,17-02-2020 05:00
37.20588235,17-02-2020 06:00
37.85294118,17-02-2020 07:00
39.47058824,17-02-2020 08:00
39.47058824,17-02-2020 09:00
39.47058824,17-02-2020 10:00
39.47058824,17-02-2020 11:00
39.14705882,17-02-2020 12:00
37.20588235,17-02-2020 15:00
37.20588235,17-02-2020 16:00
39.14705882,17-02-2020 18:00
40.11764706,17-02-2020 19:00
41.41176471,17-02-2020 20:00
41.41176471,17-02-2020 21:00
